address,city,postcode,country
"1600 Amphitheatre Parkway, Mountain View, CA",Mountain View,94043,USA
"1 Infinite Loop, Cupertino, CA",Cupertino,95014,USA
"Unter den Linden 77, 10117 Berlin",Berlin,10117,Germany
"Invalid address example, Nowhere",Nowhere,00000,Nowhere
"10 Downing St, London",London,SW1A 2AA,UK
"742 Evergreen Terrace, Springfield",Springfield,62704,USA
"221B Baker St, London",London,NW1 6XE,UK
"350 Fifth Avenue, Manhattan, NY",New York,10118,USA
"50 King St, Manchester",Manchester,M2 6AA,UK
"1601 Willow Rd, Menlo Park, CA",Menlo Park,94025,USA
"5 Queen St, Auckland",Auckland,1010,New Zealand
"500 Terry A Francois Blvd, San Francisco, CA",San Francisco,94158,USA
"3 Abbey Rd, London",London,NW8 9AY,UK
"4 Rue de la Paix, Paris",Paris,75002,France
"12 Bahnhofstrasse, Zurich",Zurich,8001,Switzerland
"24 Karl-Marx-Straße, Berlin",Berlin,12043,Germany
"88 High St, Edinburgh",Edinburgh,EH1 1YZ,UK
"77 O'Connell St, Dublin",Dublin,D01, Ireland
"200 King St W, Toronto",Toronto,M5H 3T4,Canada
"250 Queen St, Brisbane",Brisbane,4000,Australia
"11 Rue du Faubourg Saint-Honoré, Paris",Paris,75008,France
"8 Avenida Paulista, São Paulo",São Paulo,01311-000,Brazil
"14 Calle Gran Vía, Madrid",Madrid,28013,Spain
"9 Via dei Condotti, Rome",Rome,00187,Italy
"60 Rue Sainte-Catherine, Bordeaux",Bordeaux,33000,France
"101 Prins Hendrikkade, Amsterdam",Amsterdam,1012,Netherlands
"23 Limmatquai, Zurich",Zurich,8001,Switzerland
"45 Friedrichstrasse, Berlin",Berlin,10117,Germany
"3000 5th Ave N, Birmingham",Birmingham,B43 6,UK
"6 Avenida de la Constitución, Seville",Seville,41001,Spain
"700 King George V Ave, Accra",Accra,00233,Ghana
"12 Adeola Odeku St, Lagos",Lagos,100001,Nigeria
"9 Victoria Island, Lagos",Lagos,100001,Nigeria
"21 Oxford St, London",London,W1D 2HU,UK
"33 Rue de Rivoli, Paris",Paris,75004,France
"400 Collins St, Melbourne",Melbourne,3000,Australia
"88 Rue du Bac, Paris",Paris,75007,France
"77 Avenida da Liberdade, Lisbon",Lisbon,1250-096,Portugal
"12 Rua Augusta, Lisbon",Lisbon,1150-042,Portugal
"18 Calle de Atocha, Madrid",Madrid,28012,Spain
"102 Gran Vía, Madrid",Madrid,28013,Spain
"5 Avenida Reforma, Mexico City",Mexico City,06600,Mexico
"200 George St, Sydney",Sydney,2000,Australia
"14 Jalan Bukit Bintang, Kuala Lumpur",Kuala Lumpur,55100,Malaysia
"3 Chome-1-1 Marunouchi, Chiyoda City, Tokyo",Tokyo,100-0005,Japan
"1 Harbour Rd, Wan Chai",Hong Kong,999077,Hong Kong
"16 Nathan Rd, Tsim Sha Tsui",Hong Kong,999077,Hong Kong
"77 Rundle Mall, Adelaide",Adelaide,5000,Australia
"9 Princes Hwy, Wollongong",Wollongong,2500,Australia
"18 Via Monte Napoleone, Milan",Milan,20121,Italy
"55 Avenida da República, Lisbon",Lisbon,1050-185,Portugal
"42 Strand, London",London,WC2R 0EJ,UK
"200 Wacker Dr, Chicago",Chicago,60606,USA
"7 Bloor St W, Toronto",Toronto,M5S 1M2,Canada
"66 Queen St, Auckland",Auckland,1010,New Zealand
"99 Princes St, Edinburgh",Edinburgh,EH2 2EQ,UK
"123 Grafton St, Dublin",Dublin,D02, Ireland
"8 Rua Oscar Freire, São Paulo",São Paulo,01426-001,Brazil
"45 Calle Serrano, Madrid",Madrid,28001,Spain
"30 King St, Manchester",Manchester,M2 6AG,UK
"14 Rua da Prata, Lisbon",Lisbon,1100-411,Portugal
"1 Circular Quay, Sydney",Sydney,2000,Australia
"2 Market St, San Francisco",San Francisco,94103,USA
"88 Broadway, New York",New York,10006,USA
"77 Queen St W, Toronto",Toronto,M5V 2B7,Canada
"18 Jalan Besar, Singapore",Singapore,208787,Singapore
"5 Bukit Timah Rd, Singapore",Singapore,259695,Singapore
"1200 Avenida Brasil, Rio de Janeiro",Rio de Janeiro,20010-000,Brazil
"44 Calle Florida, Buenos Aires",Buenos Aires,C1005,Argentina
"58 Avenida Corrientes, Buenos Aires",Buenos Aires,C1043,Argentina
"2 Rua das Flores, Porto",Porto,4000-203,Portugal
"7 Rue de la République, Lyon",Lyon,69002,France
"10 Piazza Navona, Rome",Rome,00186,Italy
"55 Via Toledo, Naples",Naples,80134,Italy
"14 Lacey St, Hobart",Hobart,7000,Australia
"9 Kloof St, Cape Town",Cape Town,8001,South Africa
"23 Long St, Cape Town",Cape Town,8001,South Africa
